"Created by MOBILEstatistics - INIT Inc."

"No","Stop","Total in","Total out","Load","Load(max)","Board(avg)","Alight(avg)","Load(avg)","Daily boardings","EMPTY_1","EMPTY_2","EMPTY_3","Daily alightings","EMPTY_4","Stop no","W/C Usage","Bike Rack Usage","Luggage Bay","Passenger mileage","#Trips","#APC-Trips","EMPTY_5","Date (from)","Date (to)"
"1","Total","70245","70135","0","0","1.3","1.3","9.6","7024.5","","","","7013.5","","","577","0","0","923,568.88","55,408","55,408","","",""
"2","Gregory at Ikenberry Commons (South),1","12486","1223","21,795","69","14.3","1.4","24.9","1248.6","","","","122.3","","GRGIKE:1","21","0","0","2,335.71","874","874","","2/18/2019","3/1/2019"
"3","Transit Plaza (SW Platform),3","9953","3296","18,967","71","13.1","4.4","25.1","995.3","","","","329.6","","PLAZA:3","16","0","0","2,921.96","757","757","","2/18/2019","3/1/2019"
"4","Illinois Terminal (Platform C),5","4593","4165","6,784","42","2.9","2.6","4.2","459.3","","","","416.5","","IT:5","51","0","0","1,355.70","1,605","1,605","","2/18/2019","3/1/2019"
"5","Transit Plaza (SE Platform),4","3899","10492","12,915","57","4.5","12.1","14.9","389.9","","","","1049.2","","PLAZA:4","35","0","0","3,840.96","867","867","","2/18/2019","3/1/2019"
"6","Wright & Stoughton (NW Corner),4","3848","594","11,224","70","5.1","0.8","15.0","384.8","","","","59.4","","WRTSTOTN:4","23","0","0","2,164.18","750","750","","2/18/2019","3/1/2019"
"7","White Street Mid-Block (South Side),1","3816","211","7,970","68","5.2","0.3","10.8","381.6","","","","21.1","","WHITESTR:1","23","0","0","884.58","739","739","","2/18/2019","3/1/2019"
"8","Armory & Wright (South Side),3","3799","6491","19,481","61","4.4","7.5","22.4","379.9","","","","649.1","","ARYWRT:3","10","0","0","5,327.67","868","868","","2/18/2019","3/1/2019"
"9","First & Stadium (SE Corner),2","3008","222","7,839","54","3.8","0.3","9.9","300.8","","","","22.2","","1STSTDM:2","6","0","0","2,426.59","788","788","","2/18/2019","3/1/2019"
"10","First & Gregory (SE Corner),2","2797","110","10,526","62","3.4","0.1","12.8","279.7","","","","11.0","","1STGRG:2","8","0","0","667.32","823","823","","2/18/2019","3/1/2019"
