"Created by MOBILEstatistics - INIT Inc."

"No","Stop","Average","Std.dev.","Minimum","Maximum","#Stops","Graphic"
"1","Illinois Terminal (Platform C),5","0:01:41","0:03:13","-0:23:44","0:16:55","1,592",""
"2","First & Stadium (NW Corner),4","0:03:39","0:03:02","-0:04:25","0:17:59","754",""
"3","Kirby & Oak (SE Corner),2","0:02:04","0:02:27","-0:14:57","0:19:00","766",""
"4","White & Second (NE Corner),1","0:01:26","0:02:55","-0:17:38","0:16:02","803",""
"5","State & Vine (NW Corner),4","0:00:37","0:02:08","-0:02:49","0:10:28","240",""
"6","Fox at SURS (West Side),1","0:03:38","0:02:58","-0:02:10","0:14:15","251",""
"7","Fox & Devonshire (NW Corner),4","0:03:31","0:02:58","-0:01:57","0:14:09","251",""
"8","Fox at Rosecrance (East Side),2","0:01:51","0:02:40","-0:02:44","0:18:02","231",""
"9","Fox at SURS (East Side),2","0:02:04","0:02:41","-0:02:29","0:18:13","231",""
"10","Town Center & Neil (NE Corner),1","0:03:16","0:02:52","-0:01:33","0:13:27","231",""
"11","Randolph & Bradley (SE Corner),2","0:02:55","0:02:34","-0:02:07","0:12:44","232",""
"12","Market & Roper (NE Far Side),5","0:03:10","0:02:41","-0:01:30","0:13:03","231",""
"13","Market Place and Wilbur (SE Corner),2","0:02:33","0:02:58","-0:02:48","0:12:39","232",""
"14","Church & Denton (NE Corner),1","0:02:50","0:03:09","-0:01:46","0:16:21","195",""
"15","First & Lake Park South (NW Corner),4","0:02:16","0:03:05","-0:02:20","0:15:35","195",""
"16","First at iHotel,1","0:03:05","0:03:15","-0:02:00","0:17:24","264",""
"17","White & First (NE Corner),1","0:01:11","0:02:52","-0:17:50","0:16:00","784",""
"18","Gregory at Ikenberry Commons (South),1","0:02:19","0:02:29","-0:15:57","0:19:34","871",""
"19","Hazelwood & Oak (SE Corner),2","0:01:43","0:03:00","-0:06:35","0:17:40","291",""
"20","Marketview at Marketview Center (SW),6","0:02:11","0:01:41","-0:00:51","0:11:54","240",""
"21","Fox & Devonshire (SE Corner),2","0:02:27","0:02:40","-0:02:14","0:18:36","231",""
"22","Fox & Windsor (SE Corner),2","0:02:09","0:02:43","-0:02:27","0:17:59","231",""
"23","Lyndhurst & Arbours Drive (East side),2","0:03:06","0:02:40","-0:01:26","0:19:18","231",""
"24","Market & Marketview (NW Far Side),8","0:02:28","0:02:50","-0:02:26","0:13:01","232",""
"25","Champaign Walmart (East Shelter),2","0:02:31","0:02:56","-0:04:19","0:16:49","463",""
"26","MTD Garage,1","0:00:57","0:02:41","-0:06:42","0:06:26","50",""
"27","Town Center & Moreland (SW Corner),3","0:00:23","0:02:28","-0:03:27","0:09:33","230",""
"28","Oak & Gerty (NW Far Side),8","0:03:01","0:03:13","-0:02:01","0:17:26","269",""
"29","White & Wright (SE Corner),2","0:02:13","0:02:52","-0:16:15","0:16:51","828",""
"30","Neil & Washington (NW Corner),4","0:00:58","0:02:12","-0:02:56","0:11:15","240",""
"31","Main & Walnut (SW Corner),3","0:01:15","0:02:17","-0:02:58","0:11:20","240",""
"32","Randolph & Columbia (SW Corner),3","0:00:38","0:02:10","-0:02:51","0:10:58","240",""
"33","Market & Tulip Tree (West Side Shelter),4","0:01:47","0:01:51","-0:01:05","0:11:58","240",""
"34","Fox & Windsor (NW Corner),4","0:03:53","0:03:04","-0:01:07","0:14:14","251",""
"35","Lyndhurst & Bedford (SE Corner),2","0:02:01","0:02:43","-0:02:36","0:18:13","231",""
"36","Winfield Village Lot G,2","0:03:15","0:02:15","-0:00:27","0:16:30","229",""
"37","Winfield Village Lot B,1","0:03:18","0:02:12","-0:00:15","0:16:17","230",""
"38","Fox at Remax (East Side),2","0:02:21","0:02:41","-0:02:22","0:18:26","231",""
"39","Bradley & Hickory (SW Corner),3","0:03:16","0:02:35","-0:01:29","0:13:23","232",""
"40","Logan & First (SW Corner),3","0:01:52","0:02:40","-0:20:41","0:15:35","736",""
"41","Gregory at Ikenberry Commons (North),2","0:03:58","0:02:57","-0:02:23","0:17:54","749",""
"42","Armory & Wright (South Side),3","0:01:31","0:02:38","-0:16:29","0:19:15","866",""
"43","Wright & Healey (East Side),2","0:01:18","0:02:47","-0:16:55","0:16:23","833",""
"44","Neil & Columbia (SW Corner),3","0:00:58","0:02:10","-0:02:44","0:11:22","240",""
"45","Market Place Southeast (North Side),4","0:01:26","0:01:35","-0:01:15","0:10:14","236",""
"46","St. Mary's & Oak (NE Corner),1","0:04:22","0:02:59","-0:01:30","0:14:08","247",""
"47","St. Mary's & Griffith (NE Corner),1","0:04:06","0:02:59","-0:01:30","0:13:52","251",""
"48","Lyndhurst & Evergreen Circle (NW Corner),4","0:03:06","0:03:11","-0:03:03","0:13:30","251",""
"49","Savoy Walmart (Dunlap Avenue),1","0:02:25","0:02:55","-0:03:49","0:16:45","473",""
"50","Winfield Village Lot M,2","0:03:30","0:02:18","-0:00:31","0:17:16","227",""
"51","Market Place & Convenience Dr. (SW),3","0:02:47","0:02:55","-0:02:37","0:13:00","231",""
"52","Meijer Dr. at Meijer (South Side),1","0:02:58","0:03:14","-0:02:44","0:15:41","231",""
"53","Main & Walnut (SE Corner),2","0:02:58","0:02:19","-0:00:47","0:13:20","232",""
"54","Randolph & Columbia (NE Corner),1","0:03:20","0:02:27","-0:01:05","0:13:38","231",""
"55","Randolph & Vine (SE Corner),2","0:03:17","0:02:28","-0:01:10","0:13:36","232",""
"56","Curtis Rd. at Winfield Village,1","0:02:44","0:03:10","-0:03:19","0:13:47","201",""
"57","Town Center at Target (SW Corner),3","0:01:11","0:02:25","-0:02:19","0:10:47","230",""
"58","Wright & Stoughton (NW Corner),4","0:01:05","0:02:20","-0:03:08","0:12:28","747",""
"59","White & Second (SE Far Side),3","0:01:50","0:02:31","-0:19:57","0:13:00","738",""
"60","Water Survey,2","0:02:44","0:03:20","-0:08:09","0:18:14","583",""
"61","White Street Mid-Block (South Side),1","0:01:19","0:02:18","-0:02:27","0:12:36","736",""
"62","First & St. Mary's (NE Far Side),5","0:01:32","0:02:55","-0:15:12","0:18:19","510",""
"63","St. Mary's & Oak (SE Corner),2","0:01:14","0:02:57","-0:07:11","0:17:03","292",""
"64","First & Stadium (SE Corner),2","0:02:42","0:02:22","-0:15:49","0:19:28","788",""
"65","Market & Bradley (NW Corner),4","0:01:05","0:01:58","-0:01:49","0:11:39","240",""
"66","State & Tremont (NW Corner),4","0:00:34","0:02:07","-0:02:40","0:10:38","240",""
"67","Lyndhurst & Burwash (NW Corner),4","0:03:10","0:03:14","-0:02:56","0:14:10","251",""
"68","Fox at Christie Clinic (NW Corner),4","0:03:32","0:02:58","-0:01:57","0:14:08","251",""
"69","St. Mary's & Griffith (SW Corner),3","0:01:49","0:02:40","-0:03:17","0:18:22","231",""
"70","Fox & Knollwood (SE Corner),2","0:02:18","0:02:37","-0:02:14","0:18:32","231",""
"71","Lyndhurst & Old Maple Lane (SE Corner),2","0:02:51","0:02:41","-0:01:45","0:19:02","231",""
"72","Woodfield & Arbor Town (SE Corner),2","0:03:00","0:02:28","-0:01:01","0:18:16","231",""
"73","Walnut & Logan (NE Corner),1","0:02:42","0:02:17","-0:00:52","0:13:07","226",""
"74","Town Center & Menards (NE Corner),1","0:03:09","0:02:53","-0:01:47","0:13:40","231",""
"75","Boardwalk & Town Center (NE Corner),1","0:03:17","0:03:04","-0:02:31","0:15:02","231",""
"76","Prospect at Meijer (NW Corner),4","0:00:59","0:02:20","-0:01:45","0:10:43","230",""
"77","First & St. Mary's (NW Corner),4","0:03:35","0:03:08","-0:02:02","0:17:37","514",""
"78","U of I Credit Union (NW Far Side),8","0:03:06","0:03:07","-0:01:44","0:17:26","268",""
"79","First & Gregory (SE Corner),2","0:02:53","0:02:30","-0:15:32","0:19:59","822",""
"80","Fourth & Armory (SE Corner),2","0:02:06","0:02:36","-0:16:17","0:20:10","859",""
"81","Oak St. (East Side),2","0:01:25","0:02:58","-0:06:58","0:17:18","292",""
"82","Market Place South,1","0:01:02","0:01:47","-0:07:50","0:09:47","240",""
"83","Neil & Hill (NW Corner),4","0:00:53","0:02:14","-0:03:06","0:11:04","240",""
"84","Bradley & Champaign (NE Corner),1","0:00:58","0:01:57","-0:01:55","0:11:27","240",""
"85","Market & Marketview (SW Corner),3","0:02:09","0:01:45","-0:00:41","0:12:26","240",""
"86","State & Beardsley (NW Corner),4","0:00:51","0:02:06","-0:02:38","0:11:00","240",""
"87","Fox & State (NE Corner),1","0:04:19","0:02:59","-0:01:35","0:14:56","251",""
"88","Fox & Knollwood (NW Corner),4","0:03:35","0:02:58","-0:01:51","0:14:11","251",""
"89","Lyndhurst & Park Ln (NW Corner),4","0:03:38","0:03:06","-0:02:02","0:13:55","251",""
"90","Fox & State (South Side),3","0:01:38","0:02:41","-0:03:10","0:17:44","231",""
"91","Lyndhurst & Burwash (NE Corner),1","0:03:19","0:02:38","-0:01:02","0:19:24","231",""
"92","The Place at 117 (East Side),2","0:02:34","0:02:34","-0:01:27","0:15:37","353",""
"93","Market Place Southeast (South Side),3","0:02:36","0:02:57","-0:02:40","0:12:45","232",""
"94","Market Place North Entrance (East Side),2","0:02:54","0:02:56","-0:03:02","0:13:20","463",""
"95","Randolph & Beardsley (SE),2","0:02:47","0:02:34","-0:01:57","0:12:46","232",""
"96","Town Center at Meijer (North Side),8","0:03:23","0:03:03","-0:02:17","0:14:58","231",""
"97","Church & Denton (SE Far Side),6","0:02:16","0:02:10","-0:00:42","0:14:03","229",""
"98","Fox at Christie Clinic (SE Corner),2","0:02:21","0:02:38","-0:02:18","0:18:33","231",""
"99","First & Lake Park North (NW Corner),4","0:02:35","0:03:08","-0:01:54","0:15:38","175",""
"100","Sixth & Gregory (SE Corner),2","-0:00:22","0:01:25","-0:01:24","0:02:50","10",""
"101","Kirby & Oak (SW Far Side),7","0:04:29","0:03:06","-0:00:23","0:18:13","524",""
"102","Lot E-14 (South Shelter),1","0:03:45","0:03:07","-0:02:03","0:18:09","521",""
"103","Market & Garwood (SE Corner),2","0:03:25","0:02:40","-0:01:30","0:13:17","232",""
