"Created by MOBILEstatistics - INIT Inc."

"No","Stop","#Drive-throughs","#Stops","Percentage [%]","Graphic"
"1","Champaign Walmart (East Shelter),2","0","463","0",""
"2","Sixth & Gregory (SE Corner),2","0","10","0",""
"3","Sixth & Peabody (SE Corner),2","0","9","0",""
"4","Transit Plaza (SW Platform),3","1","757","0",""
"5","Illinois Terminal (Platform C),5","22","1,605","1",""
"6","Savoy Walmart (Dunlap Avenue),1","4","473","1",""
"7","Transit Plaza (SE Platform),4","6","867","1",""
"8","Gregory at Ikenberry Commons (South),1","19","874","2",""
"9","Armory & Wright (South Side),3","28","868","3",""
"10","Market Place (NE Mall Entrance),1","12","474","3",""
"11","White & Wright (SE Corner),2","45","830","5",""
"12","Gregory at Ikenberry Commons (North),2","39","752","5",""
"13","White Street Mid-Block (South Side),1","47","739","6",""
"14","Wright & Stoughton (NW Corner),4","46","750","6",""
"15","Lot E-14 (North Shelter),2","61","1,053","6",""
"16","Water Survey,2","45","584","8",""
"17","Lot E-14 (South Shelter),1","50","521","10",""
"18","Wright & Healey (NW Corner),4","95","753","13",""
"19","Wright & Healey (East Side),2","124","835","15",""
"20","First & Stadium (SE Corner),2","119","788","15",""
"21","Sixth & Gregory (NW Corner),4","122","753","16",""
"22","Wright & Chalmers (NW Corner),4","123","754","16",""
"23","First & Gregory (SE Corner),2","142","823","17",""
"24","First & Gregory (NE Corner),1","141","751","19",""
"25","Town Center at Target (NE Corner),1","44","231","19",""
"26","Meijer Dr. at Meijer (South Side),1","47","231","20",""
"27","White Street Mid-Block (North Side),2","169","817","21",""
"28","Fox & Windsor (SE Corner),2","55","231","24",""
"29","First & Stadium (NW Corner),4","191","757","25",""
"30","The Place at 117 (East Side),2","93","353","26",""
"31","Fox & Windsor (NW Corner),4","67","251","27",""
"32","White & Second (SE Far Side),3","225","743","30",""
"33","Logan & First (SW Corner),3","234","741","32",""
"34","Lyndhurst & Burwash (NW Corner),4","81","251","32",""
"35","Town Center at Target (SW Corner),3","79","230","34",""
"36","Curtis Rd. at Winfield Village,1","68","201","34",""
"37","Town Center at Meijer (North Side),8","86","231","37",""
"38","Hazelwood & Oak (SE Corner),2","112","291","38",""
"39","First & Hazelwood (NW Corner),4","105","273","38",""
"40","Town Center & Moreland (SW Corner),3","91","230","40",""
"41","Fox & State (NE Corner),1","101","251","40",""
"42","Sixth & Armory (NW Corner),4","308","753","41",""
"43","Town Center & Moreland (NE Corner),1","96","231","42",""
"44","White & Second (NE Corner),1","343","805","43",""
"45","Fourth & Armory (SE Corner),2","379","861","44",""
"46","Marketview at Marketview Center (SW),6","108","240","45",""
"47","U of I Credit Union (NW Far Side),8","120","268","45",""
"48","Neil & Columbia (SW Corner),3","107","240","45",""
"49","Randolph & Columbia (NE Corner),1","110","231","48",""
"50","State & Beardsley (NW Corner),4","117","240","49",""
"51","Marketview at Marketview Center,2","117","232","50",""
"52","Neil & Columbia (NE Corner),1","121","230","53",""
"53","Woodfield & Curtis (NE Far Side),5","124","231","54",""
"54","Market & Tulip Tree (West Side),4","133","240","55",""
"55","Randolph & Beardsley (SE),2","130","232","56",""
"56","Colbert Park (North Side),2","114","199","57",""
"57","Fourth & Pennsylvania (SE Corner),2","6","10","60",""
"58","Parkview (South Side),1","120","200","60",""
"59","Parkview (North Side),2","140","230","61",""
"60","First & St. Mary's (NW Corner),4","319","514","62",""
"61","Winfield Village Lot G,2","142","229","62",""
"62","White & First (NE Corner),1","495","786","63",""
"63","Fox & State (South Side),3","146","231","63",""
"64","Kirby & Oak (SW Far Side),7","329","524","63",""
"65","Winfield Village Lot B,1","147","230","64",""
"66","Colbert Park (South Side),1","156","245","64",""
"67","Lyndhurst & Burwash (NE Corner),1","153","231","66",""
"68","Fox & Devonshire (NW Corner),4","167","251","67",""
"69","Market & Tulip Tree (SE Corner),2","158","232","68",""
"70","Fox & Knollwood (NW Corner),4","172","251","69",""
"71","Randolph & Columbia (SW Corner),3","166","240","69",""
"72","Winfield Village Lot M,2","157","227","69",""
"73","Market & Garwood (SE Corner),2","160","232","69",""
"74","Boardwalk & Town Center (NE Corner),1","160","231","69",""
"75","State & Vine (NW Corner),4","167","240","70",""
"76","Oak & Gerty (NW Far Side),8","189","269","70",""
"77","Bradley & Hickory (NE Corner),1","169","240","70",""
"78","Neil & Center Dr.,2","163","232","70",""
"79","Walnut & Columbia (SE Corner),2","162","230","70",""
"80","Kirby & Oak (SE Corner),2","542","767","71",""
"81","Neil & Washington (NW Corner),4","170","240","71",""
"82","Woodfield & Arbor Town (SE Corner),2","165","231","71",""
"83","Randolph & Tremont (East Side),2","165","232","71",""
"84","Neil & Hill (NW Corner),4","173","240","72",""
"85","Fox & Knollwood (SE Corner),2","167","231","72",""
