course,section,term,url,year
AAS,100,Fall,https://courses.illinois.edu/schedule/2010/Fall/AAS/100,2010
AAS,120,Fall,https://courses.illinois.edu/schedule/2010/Fall/AAS/120,2010
AAS,215,Fall,https://courses.illinois.edu/schedule/2010/Fall/AAS/215,2010
ABE,100,Fall,https://courses.illinois.edu/schedule/2010/Fall/ABE/100,2010
ABE,221,Fall,https://courses.illinois.edu/schedule/2010/Fall/ABE/221,2010
ABE,361,Fall,https://courses.illinois.edu/schedule/2010/Fall/ABE/361,2010
ABE,430,Fall,https://courses.illinois.edu/schedule/2010/Fall/ABE/430,2010
ABE,466,Fall,https://courses.illinois.edu/schedule/2010/Fall/ABE/466,2010
ABE,483,Fall,https://courses.illinois.edu/schedule/2010/Fall/ABE/483,2010
ACCY,200,Fall,https://courses.illinois.edu/schedule/2010/Fall/ACCY/200,2010
ACCY,201,Fall,https://courses.illinois.edu/schedule/2010/Fall/ACCY/201,2010
ACCY,202,Fall,https://courses.illinois.edu/schedule/2010/Fall/ACCY/202,2010
ACCY,301,Fall,https://courses.illinois.edu/schedule/2010/Fall/ACCY/301,2010
ACCY,302,Fall,https://courses.illinois.edu/schedule/2010/Fall/ACCY/302,2010
ACCY,303,Fall,https://courses.illinois.edu/schedule/2010/Fall/ACCY/303,2010
ACCY,304,Fall,https://courses.illinois.edu/schedule/2010/Fall/ACCY/304,2010
ACCY,312,Fall,https://courses.illinois.edu/schedule/2010/Fall/ACCY/312,2010
ACCY,405,Fall,https://courses.illinois.edu/schedule/2010/Fall/ACCY/405,2010
ACCY,451,Fall,https://courses.illinois.edu/schedule/2010/Fall/ACCY/451,2010
ACCY,500,Fall,https://courses.illinois.edu/schedule/2010/Fall/ACCY/500,2010
ACCY,502,Fall,https://courses.illinois.edu/schedule/2010/Fall/ACCY/502,2010
ACCY,503,Fall,https://courses.illinois.edu/schedule/2010/Fall/ACCY/503,2010
